               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093467,            0.060998,            0.067843,          0.00018076,            0.023397,          0.00011596,           3.672e-05,            0.087733,            0.038451,            0.065232,            0.070135,           0.0033184,           0.0033184
                   1,            0.087659,            0.062546,            0.062871,          0.00031093,            0.061994,          0.00030939,           9.186e-05,            0.091529,            0.035904,            0.061676,            0.040069,           0.0065859,           0.0065859
                   2,            0.080668,             0.06718,            0.054343,            0.001616,            0.014709,          0.00094251,          0.00019381,            0.092565,            0.088504,            0.063227,           0.0099368,           0.0097873,           0.0097873
                   3,            0.075043,            0.061891,            0.043975,             0.75971,            0.023461,            0.020502,           0.0057639,             0.08516,            0.039788,            0.049358,            0.009703,            0.009703,            0.009703
                   4,            0.071146,            0.058051,            0.039711,             0.55705,            0.044302,            0.037955,            0.012383,            0.079634,            0.037488,            0.049308,            0.009703,            0.009703,            0.009703
                   5,            0.068188,              0.0568,            0.037434,             0.82923,             0.12109,             0.13979,            0.049927,            0.068736,            0.034299,            0.036059,            0.009604,            0.009604,            0.009604
                   6,            0.066207,            0.055623,            0.035956,              0.4356,             0.18392,             0.17869,            0.070011,            0.066148,            0.031825,            0.033436,            0.009505,            0.009505,            0.009505
                   7,            0.064734,            0.054682,            0.034896,             0.47414,             0.22197,             0.18944,            0.079207,            0.064383,            0.033026,            0.032597,            0.009406,            0.009406,            0.009406
                   8,            0.063343,             0.05375,            0.034393,             0.34028,             0.15762,             0.12968,            0.042929,            0.068722,             0.03312,            0.035353,            0.009307,            0.009307,            0.009307
                   9,            0.062672,            0.053315,            0.033684,             0.49181,             0.20518,             0.18604,            0.073449,            0.064878,            0.032014,            0.032206,            0.009208,            0.009208,            0.009208
                  10,            0.061536,            0.051838,            0.033056,              0.4109,             0.26955,             0.22303,            0.087872,            0.063049,            0.030744,            0.030756,            0.009109,            0.009109,            0.009109
                  11,             0.06111,             0.05164,            0.033206,             0.39458,             0.23768,             0.21411,            0.087288,            0.062142,            0.031623,            0.031029,             0.00901,             0.00901,             0.00901
                  12,            0.060703,            0.051053,             0.03266,             0.39629,             0.25009,             0.21725,            0.094295,            0.062211,             0.03019,            0.030735,            0.008911,            0.008911,            0.008911
                  13,            0.059635,            0.051385,            0.032195,             0.42808,             0.26132,             0.24182,             0.10182,            0.060287,            0.029792,             0.02992,            0.008812,            0.008812,            0.008812
                  14,            0.059744,            0.050808,            0.032064,             0.41741,             0.27285,             0.23623,              0.1029,            0.060606,            0.030827,            0.029713,            0.008713,            0.008713,            0.008713
                  15,            0.059122,            0.051377,            0.031862,             0.43897,             0.25779,             0.22183,            0.091495,             0.06168,            0.030873,            0.030065,            0.008614,            0.008614,            0.008614
                  16,            0.058807,            0.050371,            0.031419,             0.40641,             0.27641,              0.2399,              0.1046,            0.059572,            0.030057,            0.029644,            0.008515,            0.008515,            0.008515
                  17,            0.058682,              0.0504,            0.031236,             0.47996,             0.27868,             0.24584,             0.11056,            0.059396,            0.029694,            0.029379,            0.008416,            0.008416,            0.008416
                  18,            0.058088,            0.050398,            0.031035,             0.43216,             0.29747,             0.25172,             0.11631,            0.059177,            0.030406,            0.029363,            0.008317,            0.008317,            0.008317
                  19,            0.057552,             0.05011,            0.030614,             0.44034,             0.29511,              0.2706,             0.12585,            0.058765,            0.029271,            0.029162,            0.008218,            0.008218,            0.008218
                  20,            0.057358,              0.0499,            0.030806,             0.43489,             0.27445,             0.25531,             0.11338,            0.058788,            0.029623,            0.028658,            0.008119,            0.008119,            0.008119
                  21,            0.057211,            0.050251,            0.030375,             0.38159,             0.31387,             0.27167,              0.1211,            0.058244,            0.029376,            0.028036,             0.00802,             0.00802,             0.00802
                  22,            0.056787,              0.0497,             0.03013,             0.38004,             0.31328,             0.26039,             0.11357,            0.058275,            0.029633,            0.028151,            0.007921,            0.007921,            0.007921
                  23,            0.056576,            0.049616,            0.030049,             0.35628,              0.2677,             0.24496,             0.10798,            0.060292,             0.03028,            0.028928,            0.007822,            0.007822,            0.007822
                  24,            0.056115,            0.048675,            0.029765,             0.35249,             0.30602,             0.28054,             0.12433,            0.057889,            0.029064,            0.027999,            0.007723,            0.007723,            0.007723
                  25,            0.056368,            0.049453,            0.029333,             0.40862,             0.29415,             0.28032,             0.12726,            0.057619,            0.029626,             0.02792,            0.007624,            0.007624,            0.007624
                  26,            0.055983,            0.048826,             0.02941,             0.38742,             0.29264,             0.27648,             0.12669,            0.057353,            0.029575,            0.028007,            0.007525,            0.007525,            0.007525
                  27,            0.055707,            0.048424,            0.029539,             0.41168,             0.30324,             0.28806,             0.13286,            0.057022,            0.029182,            0.027789,            0.007426,            0.007426,            0.007426
                  28,            0.055362,            0.049097,            0.029595,             0.36344,             0.31034,              0.2684,             0.11399,            0.058957,            0.029908,            0.028145,            0.007327,            0.007327,            0.007327
                  29,             0.05551,            0.049019,             0.02965,             0.34224,             0.29766,             0.27638,             0.12451,             0.05842,            0.029443,            0.027851,            0.007228,            0.007228,            0.007228
                  30,            0.055294,            0.048541,            0.028777,             0.38577,             0.29544,             0.27976,             0.12604,            0.057472,            0.029469,            0.027636,            0.007129,            0.007129,            0.007129
